City Name,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Bluff,-46.6,168.33,280.93,83,77,1.79,NZ,1597448978
Punta Arenas,-53.15,-70.92,273.15,91,100,2.1,CL,1597448979
Tautira,-17.73,-149.15,301.15,69,75,4.6,PF,1597448981
Souillac,-20.52,57.52,294.15,73,40,2.1,MU,1597448983
Rikitea,-23.12,-134.97,294.72,76,40,5.13,PF,1597448989
Mataura,-46.19,168.86,280.93,83,8,1.79,NZ,1597448990
Ushuaia,-54.8,-68.3,275.15,92,40,5.1,AR,1597448714
Portel,-1.94,-50.82,300.66,57,52,1.15,BR,1597449014
São José da Coroa Grande,-8.9,-35.15,295.81,85,6,2.31,BR,1597449021
Flinders,-34.58,150.86,289.82,74,99,3.13,AU,1597449024
Sungai Penuh,-2.08,101.38,292.07,81,100,1.04,ID,1597449027
Puerto Ayora,-0.74,-90.35,293.15,94,98,1.34,EC,1597449031
Antalaha,-14.9,50.28,294.54,79,95,3.85,MG,1597449042
New Norfolk,-42.78,147.06,284.82,92,86,0.51,AU,1597449044
Cape Town,-33.93,18.42,289.26,71,75,6.7,ZA,1597448975
Salinópolis,-0.61,-47.36,300.12,81,99,6.45,BR,1597449048
Hermanus,-34.42,19.23,286.48,81,45,5.81,ZA,1597449050
Touros,-5.2,-35.46,296.15,88,20,2.6,BR,1597449052
Esperance,-33.87,121.9,281.15,93,28,4.6,AU,1597449053
Vaini,-21.2,-175.2,297.15,69,40,6.7,TO,1597449057
Kualakapuas,-3.01,114.39,298.15,94,20,1.0,ID,1597449058
Port Alfred,-33.59,26.89,285.74,70,0,2.83,ZA,1597449063
Tamandaré,-8.76,-35.1,295.76,85,7,2.08,BR,1597449066
Hobart,-42.88,147.33,284.82,93,75,0.12,AU,1597449073
Bredasdorp,-34.53,20.04,288.15,58,0,7.2,ZA,1597449077
Mar del Plata,-38.0,-57.56,285.15,58,83,2.6,AR,1597448939
Tuatapere,-46.13,167.68,280.93,83,23,1.79,NZ,1597448899
Perth,-31.93,115.83,287.04,71,8,7.7,AU,1597448875
Busselton,-33.65,115.33,286.48,87,35,7.09,AU,1597449088
Ahipara,-35.17,173.17,287.73,69,13,3.19,NZ,1597449093
Kaitangata,-46.28,169.85,280.93,65,5,1.79,NZ,1597449099
Cuamba,-14.8,36.54,288.3,86,22,1.66,MZ,1597449100
Mufulira,-12.55,28.24,285.62,42,52,3.11,ZM,1597449103
Castro,-24.79,-50.01,290.13,83,37,2.42,BR,1597449108
Labuhan,-6.88,112.21,298.93,86,5,3.09,ID,1597449111
Arraial do Cabo,-22.97,-42.03,295.72,85,19,10.72,BR,1597449115
Lukulu,-14.37,23.24,286.67,36,0,2.77,ZM,1597449116
Saldanha,-33.01,17.94,287.15,71,73,2.1,ZA,1597448873
Port Elizabeth,-33.92,25.57,283.15,87,0,3.1,ZA,1597449120
Namatanai,-3.67,152.43,302.17,68,100,1.62,PG,1597449122
Mweka,-4.85,21.57,296.83,58,70,0.97,CD,1597449125
Comodoro Rivadavia,-45.87,-67.5,280.15,52,100,12.9,AR,1597449136
Atuona,-9.8,-139.03,298.51,72,66,7.02,PF,1597449140
Te Anau,-45.42,167.72,279.99,68,31,0.06,NZ,1597449144
Carnarvon,-24.87,113.63,283.15,100,0,2.1,AU,1597449153
Rawson,-43.3,-65.1,281.24,52,29,6.55,AR,1597449160
Vao,-22.67,167.48,292.89,75,15,8.28,NC,1597449162
Pisco,-13.7,-76.22,290.37,77,24,6.7,PE,1597448893
Karratha,-20.74,116.85,292.27,39,1,4.1,AU,1597449167
Lebu,-37.62,-73.65,281.19,68,67,3.94,CL,1597449174
Grand Gaube,-20.01,57.66,291.48,78,7,1.34,MU,1597448882
Kimbe,-5.55,150.14,300.75,78,100,0.77,PG,1597449181
Mahébourg,-20.41,57.7,294.15,73,40,2.1,MU,1597449182
Bambous Virieux,-20.34,57.76,294.15,73,40,2.1,MU,1597449184
Chui,-33.7,-53.46,285.3,89,80,2.77,UY,1597449186
East London,-33.02,27.91,291.07,28,0,2.06,ZA,1597449191
Artigas,-30.4,-56.47,288.96,86,96,1.73,UY,1597449192
Vila Velha,-20.33,-40.29,298.15,78,0,3.6,BR,1597449194
Quatre Cocos,-20.21,57.76,294.15,73,40,2.1,MU,1597449199
Ambon City,-3.7,128.18,298.15,94,75,2.6,ID,1597449200
Ongandjera,-17.88,15.07,290.03,27,3,3.14,NA,1597449212
Mossamedes,-15.2,12.15,288.82,91,40,3.69,AO,1597449214
Ituporanga,-27.41,-49.6,290.93,99,95,0.45,BR,1597449216
Hithadhoo,-0.6,73.08,301.05,74,91,4.08,MV,1597449054
Padang,-0.95,100.35,298.89,70,96,2.16,ID,1597449224
Lüderitz,-26.65,15.16,286.68,73,0,7.43,NA,1597449251
Pilar,-9.6,-35.96,294.15,100,22,0.5,BR,1597449026
Avarua,-21.21,-159.78,299.15,88,19,5.1,CK,1597449256
Saint-Philippe,-21.36,55.77,292.15,72,75,2.6,RE,1597449260
Viedma,-40.81,-63.0,278.15,57,0,1.34,AR,1597449264
Buritis,-15.62,-46.42,295.49,42,0,1.0,BR,1597449005
Richards Bay,-28.78,32.04,291.11,64,0,7.43,ZA,1597449283
Saint-Joseph,-21.37,55.62,292.15,72,75,2.6,RE,1597449291
Luwuk,-0.95,122.79,299.51,66,13,2.82,ID,1597449136
Faanui,-16.48,-151.75,298.79,82,7,7.62,PF,1597449298
Poconé,-16.26,-56.62,302.76,26,31,2.03,BR,1597449300
Santa Isabel,-23.32,-46.22,297.15,73,34,2.6,BR,1597449308
Sechura,-5.56,-80.82,291.71,75,89,7.22,PE,1597449317
Coração de Jesus,-16.69,-44.37,294.35,45,0,3.74,BR,1597449322
São João da Barra,-21.64,-41.05,296.23,84,7,10.81,BR,1597449330
Chimoré,-16.98,-65.13,297.0,76,17,1.23,BO,1597449336
Airai,-8.93,125.41,293.01,50,0,1.67,TL,1597449340
Ende,-8.84,121.66,298.64,77,75,2.43,ID,1597449350
Sambava,-14.27,50.17,294.71,84,97,5.0,MG,1597449352
Coyhaique,-45.58,-72.07,276.15,93,75,3.6,CL,1597449353
Mozarlândia,-14.74,-50.57,298.58,34,0,0.98,BR,1597449356
Kasongo-Lunda,-6.47,16.82,296.64,46,6,1.36,CD,1597449359
Kirakira,-10.45,161.92,302.15,68,100,1.49,SB,1597449361
Pindobaçu,-10.74,-40.36,293.37,76,59,2.86,BR,1597449371
Mount Isa,-20.73,139.5,294.15,30,0,6.2,AU,1597449373
Codrington,-38.27,141.97,284.39,89,57,2.97,AU,1597449378
Matinhos,-25.82,-48.54,293.71,94,75,3.1,BR,1597449382
Diego de Almagro,-26.37,-70.05,280.01,60,0,0.89,CL,1597449387
Urucará,-2.54,-57.76,301.44,46,93,1.49,BR,1597449396
Ballina,-28.87,153.57,291.48,93,70,5.98,AU,1597449400
Isangel,-19.55,169.27,296.57,69,20,5.82,VU,1597449407
Cairns,-16.92,145.77,298.71,65,45,2.1,AU,1597449221
Cabedelo,-6.98,-34.83,296.15,94,20,2.6,BR,1597449423
Kavieng,-2.57,150.8,302.33,66,100,1.29,PG,1597449426
Coquimbo,-29.95,-71.34,285.15,76,0,2.6,CL,1597449428
Fianarantsoa,-21.43,47.08,282.89,91,72,2.19,MG,1597449436
Lodja,-3.48,23.43,298.3,68,53,1.21,CD,1597449444
Alice Springs,-23.7,133.88,288.15,41,0,3.1,AU,1597449331
Ancud,-41.87,-73.82,277.59,93,75,4.1,CL,1597449456
Itarema,-2.92,-39.92,298.5,76,15,6.98,BR,1597449457
Cidreira,-30.18,-50.21,288.92,97,84,4.37,BR,1597449461
Sainte-Marie,-20.9,55.55,290.15,77,37,2.6,RE,1597449468
La Maná,-0.93,-79.22,287.15,67,40,8.2,EC,1597449488
Sola,-13.88,167.55,299.94,82,11,6.71,VU,1597449493
Port-Gentil,-0.72,8.78,298.15,88,90,7.03,GA,1597449494
Conceição do Araguaia,-8.26,-49.26,301.02,35,11,1.06,BR,1597449428
Clarence Town,-32.58,151.78,290.15,72,28,10.3,AU,1597449499
Santa Cruz de la Sierra,-17.8,-63.17,297.15,88,75,4.1,BO,1597449349
Buala,-8.14,159.59,302.45,67,56,1.83,SB,1597449506
Reconquista,-29.15,-59.65,288.63,74,30,2.28,AR,1597449431
Caxito,-8.58,13.66,295.15,88,75,2.1,AO,1597449514
Camiri,-20.05,-63.52,294.63,58,0,0.37,BO,1597449518
Knysna,-34.04,23.05,282.15,76,0,2.1,ZA,1597449339
Saint-Pierre,-21.34,55.48,292.15,72,75,2.6,RE,1597449521
Mercedes,-34.65,-59.43,285.37,80,30,2.24,AR,1597449529
Port Lincoln,-34.73,135.87,286.74,70,3,4.68,AU,1597449533
São José do Rio Preto,-20.82,-49.38,301.15,28,25,1.32,BR,1597449300
Necochea,-38.55,-58.74,283.15,83,85,3.13,AR,1597449543
Tiarei,-17.53,-149.33,301.15,69,75,4.6,PF,1597449550
Jacareacanga,-6.22,-57.75,300.43,38,6,0.47,BR,1597449556
Caravelas,-17.71,-39.25,294.92,85,0,2.77,BR,1597449561
Katherine,-14.47,132.27,300.15,61,57,3.1,AU,1597449566
Bengkulu,-3.8,102.27,297.9,80,39,1.92,ID,1597449567
Saint-Paul,-21.01,55.27,290.15,77,2,2.6,RE,1597449572
Biak,-0.91,122.88,298.87,70,15,3.25,ID,1597449577
Bambanglipuro,-7.95,110.28,298.31,85,25,2.52,ID,1597449579
Olinda,-8.01,-34.86,297.15,78,40,2.1,BR,1597449580
Luganville,-15.53,167.17,301.15,78,75,5.7,VU,1597449581
Dunedin,-45.87,170.5,281.48,66,0,6.71,NZ,1597449595
Henties Bay,-22.12,14.28,285.93,94,0,2.45,NA,1597449637
Vilhena,-12.74,-60.15,300.15,54,55,3.1,BR,1597449640
Koumac,-20.57,164.28,295.95,61,1,2.24,NC,1597449644
Boende,-0.22,20.87,296.13,94,84,0.76,CD,1597449657
Puerto Quijarro,-17.78,-57.77,302.83,30,14,1.42,BO,1597449659
Burnie,-41.07,145.92,284.26,81,23,4.92,AU,1597449662
Calama,-22.47,-68.93,286.15,10,0,7.2,CL,1597449515
Posse,-14.09,-46.37,296.58,40,0,4.14,BR,1597449668
Ngunguru,-35.62,174.5,286.48,3,85,2.68,NZ,1597449672
Kokopo,-4.35,152.26,301.37,71,100,2.37,PG,1597449673
Springbok,-29.66,17.89,278.18,88,0,2.03,ZA,1597449677
Vangaindrano,-23.35,47.6,290.25,89,40,1.12,MG,1597449682
San Jerónimo,-11.95,-75.28,285.35,59,42,2.5,PE,1597449685
Moindou,-21.69,165.68,297.15,57,40,2.6,NC,1597449687
Samarai,-10.62,150.67,298.78,73,100,4.79,PG,1597449690
Tual,-5.67,132.75,299.65,83,89,7.82,ID,1597449695
Kaeo,-35.1,173.78,286.48,3,60,2.68,NZ,1597449698
São Geraldo do Araguaia,-6.4,-48.55,301.17,37,24,1.47,BR,1597449709
Izazi,-7.2,35.73,290.15,55,5,4.1,TZ,1597449714
Santana do Acaraú,-3.46,-40.21,296.57,74,87,1.89,BR,1597449723
Chiredzi,-21.05,31.67,286.06,93,0,1.4,ZW,1597449739
Batemans Bay,-35.72,150.18,287.04,81,98,3.13,AU,1597449744
Carutapera,-1.2,-46.02,298.52,83,100,3.26,BR,1597449756
Trairi,-3.28,-39.27,298.33,77,9,5.58,BR,1597449761
Kununurra,-15.77,128.73,297.15,25,58,0.5,AU,1597449764
Río Gallegos,-51.62,-69.22,273.15,94,96,1.0,AR,1597449769
Lavumisa,-27.31,31.89,286.15,87,0,1.0,SZ,1597449777
Hanmer Springs,-42.52,172.82,284.49,50,0,1.27,NZ,1597449794
Mareeba,-17.0,145.43,299.26,74,53,0.89,AU,1597449795
Alofi,-19.06,-169.92,298.15,88,27,4.6,NU,1597449797
Manggar,-2.88,108.27,300.81,80,35,4.25,ID,1597449799
Hualmay,-11.1,-77.61,288.44,82,60,5.06,PE,1597449813
Yulara,-25.24,130.99,284.15,53,0,2.1,AU,1597449817
Geraldton,-28.77,114.6,283.15,76,0,2.6,AU,1597449819
Pouébo,-20.4,164.57,296.13,64,11,5.74,NC,1597449821
